Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
G,Leno,4.5,4.5,Arsenal,0,0,0,0,0.5366666666666667,0.068,0.03666666666666667,0.004,0,0,0.29500000000000004,0.05,0.29500000000000004,0.054000000000000006,1,0.042
G,Rúnarsson,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willian,6.3,6.3,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Aubameyang,9.6,9.6,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Cédric,4.2,4.2,Arsenal,30,3.12,0,0,7.273333333333333,0.8280000000000001,6.176666666666666,0.7400000000000001,16,0.651,5.31,0.8290000000000001,5.31,0.9380000000000001,22,0.906
F,Lacazette,8.3,8.3,Arsenal,78,9.931000000000001,0,0,40.083333333333336,6.792000000000001,30.44666666666667,5.989000000000001,70,4.056,20.945,4.663,19.47,4.783,68,4.072
M,Xhaka,4.8,4.8,Arsenal,82.5,5.3149999999999995,0,0,41.083333333333336,3.6239999999999997,32.72666666666667,3.0149999999999997,76,2.213,23.599999999999998,2.65,20.060000000000002,2.518,70,2.084
D,Marí,4.2,4.2,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Bellerín,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Chambers,4.2,4.2,Aston Villa,45,2.211,3.266666666666667,0.28500000000000003,4.77,0.493,3.7733333333333334,0.307,13,0.421,5.646666666666667,0.5700000000000001,5.646666666666667,0.562,17,0.437
D,Kolasinac,4.2,4.2,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Elneny,4.4,4.4,Arsenal,8,0.75,0,0,6.07,0.6950000000000001,4.483333333333333,0.534,15,0.641,2.9499999999999997,0.47200000000000003,4.720000000000001,0.802,15,0.644
M,Maitland-Niles,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Holding,4.1,4.1,Arsenal,14.5,1.345,0,0,9.306666666666667,0.9909999999999999,8.463333333333333,0.984,26,1.053,7.375,1.152,7.375,1.3199999999999998,28,1.119
M,Partey,5.0,5.0,Arsenal,84,5.99,0,0,42.026666666666664,4.039000000000001,33.50333333333333,3.3750000000000004,73,2.344,22.125,2.772,21.830000000000002,2.968,77,2.42
D,Tierney,5.1,5.1,Arsenal,87,9.437999999999999,0,0,44.34,5.515000000000001,34.77,4.659000000000001,82,3.309,22.715,3.739,23.305,4.446,78,3.189
M,Pépé,6.9,6.9,Arsenal,15.5,2.323,0,0,6.013333333333333,1.148,5.806666666666666,1.2730000000000001,15,1.058,4.425,1.1989999999999998,5.31,1.5519999999999998,16,1.143
M,Torreira,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,5.7,5.7,Newcastle,44,1.71,49,1.94,19.373333333333335,2.3339999999999996,19.183333333333334,1.941,15.749999999999998,0.6,19.113333333333333,2.0500000000000003,19.113333333333333,2.2729999999999997,49,2.077
F,Nketiah,5.4,5.4,Arsenal,13,1.7730000000000001,0,0,7.1066666666666665,1.306,7.036666666666666,1.4599999999999997,15,1.033,4.13,1.041,4.425,1.184,19,1.25
M,Smith Rowe,5.8,5.8,Arsenal,55.5,6.228,0,0,23.743333333333336,3.5389999999999997,19.443333333333335,3.171,44,2.261,12.094999999999999,2.3890000000000002,14.455,3.0199999999999996,46,2.377
M,Saka,6.4,6.4,Arsenal,79.5,9.421,0,0,40.806666666666665,6.412,31.626666666666665,5.643000000000001,71,3.795,21.830000000000002,4.442,21.535,4.844,72,3.889
D,Gabriel,5.3,5.3,Arsenal,87.5,9.549,0,0,44.193333333333335,5.424,34.48,4.573,78,3.151,23.305,3.742,23.01,4.356999999999999,75,3.068
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.3,5.3,Arsenal,35,4.08,0,0,34.95666666666667,5.567,28.343333333333334,5.017,66,3.512,19.765,4.0280000000000005,18.880000000000003,4.234,67,3.606
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Hourihane,4.9,4.9,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Martínez,5.5,5.5,Aston Villa,90,4.13,32.300000000000004,3.794,35.89666666666667,4.497000000000001,35.230000000000004,4.055,86,3.334,35.09,4.295,34.68666666666667,4.168,87,3.124
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Traoré,5.7,5.7,Aston Villa,0,0,0.03333333333333333,0.003,1.3533333333333333,0.226,2.263333333333333,0.333,11,0.609,4.4366666666666665,0.654,4.4366666666666665,0.7130000000000001,12,0.611
M,Grealish,7.5,7.5,Man City,39,2.631,52,3.489,46,3.046,45,2.877,4.800000000000001,0.315,46,3.259,49,2.767,45,2.706
M,Sanson,5.0,5.0,Aston Villa,15,0.815,7,0.931,7.36,1.04,8.133333333333333,1.0430000000000001,25,1.097,7.260000000000001,0.9339999999999999,7.260000000000001,0.948,12,0.546
M,McGinn,5.8,5.8,Aston Villa,86,3.493,30.066666666666666,2.918,32.973333333333336,3.6610000000000005,32.096666666666664,3.112,76,2.501,30.25,3.0060000000000002,29.040000000000003,3.0460000000000003,74,2.198
D,Hause,4.4,4.4,Aston Villa,46,2.331,1.8333333333333333,0.155,2.6300000000000003,0.259,3.9966666666666666,0.34199999999999997,12,0.394,4.84,0.479,5.646666666666667,0.5740000000000001,11,0.274
M,Trézéguet,5.4,5.4,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,5.0,5.0,Aston Villa,90,4.158,31.2,2.845,34.056666666666665,3.7619999999999996,33.54,2.8249999999999997,81,2.405,32.669999999999995,3.279,32.266666666666666,3.166,80,1.634
